REVIEW;FEELING
Estou realmente decepcionado, tudo o que tenho agora é um carregador que não funciona.;0
Doloroso na orelha.;0
Durou um dia e depois explodiu.;0
desapontado.;0
Tipo de fracassos.;0
A tela fica manchada facilmente porque toca sua orelha e seu rosto.;0
Que lixo ... Perco mais ligações neste telefone.;0
O item não corresponde à imagem.;0
A única coisa que me decepciona é o porto de infravermelho (irda).;0
Você não pode atender chamadas com a unidade, nunca funcionou uma vez!;0
